PONOT2016052679700HEINÄVESI                     HEINÄVESI                                             198811011FI131Etelä-Savo                    Södra Savolax                 090Heinävesi           Heinävesi           1
PONOT2016052686240PYHÄNKOSKI                    PYHÄNKOSKI                                            198601011FI1A2Pohjois-Pohjanmaa             Norra Österbotten             483Merijärvi           Merijärvi           1
PONOT2016052697390KIERINKI                      KIERINKI                                              198601011FI1A3Lappi                         Lappland                      758Sodankylä           Sodankylä           1
PONOT2016052600900HELSINKI                      HELSINGFORS                   HKI         HFORS       198810011FI181Uusimaa                       Nyland                        091Helsinki            Helsingfors         2
PONOT2016052602760ESPOO                         ESBO                                                  199608291FI181Uusimaa                       Nyland                        049Espoo               Esbo                2
PONOT2016052607590HUUVARI                       HUUVARI                                               198601011FI181Uusimaa                       Nyland                        018Askola              Askola              1
PONOT2016052613720PAROLA                        PAROLA                                                198810011FI184Kanta-Häme                    Egentliga Tavastland          082Hattula             Hattula             1
PONOT2016052650350NOROLA                        NOROLA                                                198801011FI131Etelä-Savo                    Södra Savolax                 491Mikkeli             St Michel           1
PONOT2016052655700IMATRA                        IMATRA                                                198811011FI187Etelä-Karjala                 Södra Karelen                 153Imatra              Imatra              1
PONOT2016052656800SIMPELE                       SIMPELE                                               199703031FI187Etelä-Karjala                 Södra Karelen                 689Rautjärvi           Rautjärvi           1
PONOT2016052664260KASKINEN                      KASKÖ                                                 199706161FI195Pohjanmaa                     Österbotten                   231Kaskinen            Kaskö               2
PONOT2016052670101KUOPIO                        KUOPIO                                                198903132FI132Pohjois-Savo                  Norra Savolax                 297Kuopio              Kuopio              1
PONOT2016052674250NISSILÄ                       NISSILÄ                                               198601011FI132Pohjois-Savo                  Norra Savolax                 925Vieremä             Vieremä             1
PONOT2016052680130JOENSUU                       JOENSUU                       JS                      199610011FI133Pohjois-Karjala               Norra Karelen                 167Joensuu             Joensuu             1
PONOT2016052603220TERVALAMPI                    TERVALAMPI                                            198804051FI181Uusimaa                       Nyland                        927Vihti               Vichtis             1
PONOT2016052607910VALKO                         VALKOM                                                198811011FI181Uusimaa                       Nyland                        434Loviisa             Lovisa              2
PONOT2016052614610LEPAA                         LEPAA                                                 199904061FI184Kanta-Häme                    Egentliga Tavastland          082Hattula             Hattula             1
PONOT2016052615141LAHTI                         LAHTI                                                 199001012FI185Päijät-Häme                   Päijänne-Tavastland           398Lahti               Lahtis              1
PONOT2016052619650JOUTSA                        JOUTSA                                                198811011FI193Keski-Suomi                   Mellersta Finland             172Joutsa              Joutsa              1
PONOT2016052632560VIRTTAA                       VIRTTAA                                               199706231FI183Varsinais-Suomi               Egentliga Finland             430Loimaa              Loimaa              1
PONOT2016052635750VÄÄRINMAJA                    VÄÄRINMAJA                                            199603011FI192Pirkanmaa                     Birkaland                     702Ruovesi             Ruovesi             1
PONOT2016052639501IKAALINEN                     IKAALINEN                                             199510312FI192Pirkanmaa                     Birkaland                     143Ikaalinen           Ikalis              1
PONOT2016052639965KARVIANKYLÄ                   KARVIANKYLÄ                                           198601011FI191Satakunta                     Satakunda                     230Karvia              Karvia              1
PONOT2016052643520KIMINKI                       KIMINKI                                               198601011FI193Keski-Suomi                   Mellersta Finland             226Karstula            Karstula            1
PONOT2016052648710KOTKA                         KOTKA                                                 200605011FI186Kymenlaakso                   Kymmenedalen                  285Kotka               Kotka               1
PONOT2016052670500KUOPIO                        KUOPIO                        KUO                     198601011FI132Pohjois-Savo                  Norra Savolax                 297Kuopio              Kuopio              1
PONOT2016052674670RAPAKKOJOKI                   RAPAKKOJOKI                                           198601011FI132Pohjois-Savo                  Norra Savolax                 263Kiuruvesi           Kiuruvesi           1
PONOT2016052680770KONTIOLAHTI AS                KONTIOLAHTI AS                KONTIOLH AS             198601011FI133Pohjois-Karjala               Norra Karelen                 276Kontiolahti         Kontiolahti         1
PONOT2016052683940NUNNANLAHTI                   NUNNANLAHTI                                           198809011FI133Pohjois-Karjala               Norra Karelen                 176Juuka               Juuka               1
PONOT2016052699450PALOJOENSUU                   PALOJOENSUU                                           198601011FI1A3Lappi                         Lappland                      047Enontekiö           Enontekis           1
PONOT2016052699670PETKULA                       PETKULA                                               199701311FI1A3Lappi                         Lappland                      758Sodankylä           Sodankylä           1
PONOT2016052600331HELSINKI                      HELSINGFORS                                           198811012FI181Uusimaa                       Nyland                        091Helsinki            Helsingfors         2
PONOT2016052600511HELSINKI                      HELSINGFORS                                           198810012FI181Uusimaa                       Nyland                        091Helsinki            Helsingfors         2
PONOT2016052600650HELSINKI                      HELSINGFORS                   HKI         HFORS       198810011FI181Uusimaa                       Nyland                        091Helsinki            Helsingfors         2
PONOT2016052602140ESPOO                         ESBO                                                  199602281FI181Uusimaa                       Nyland                        049Espoo               Esbo                2
PONOT2016052608501LOHJA                         LOJO                                                  200609292FI181Uusimaa                       Nyland                        444Lohja               Lojo                2
PONOT2016052630420FORSSA                        FORSSA                        FRS                     199811271FI184Kanta-Häme                    Egentliga Tavastland          061Forssa              Forssa              1
PONOT2016052636430SAHALAHTI                     SAHALAHTI                                             198811011FI192Pirkanmaa                     Birkaland                     211Kangasala           Kangasala           1
PONOT2016052640400JYVÄSKYLÄ                     JYVÄSKYLÄ                     JKL                     199702241FI193Keski-Suomi                   Mellersta Finland             179Jyväskylä           Jyväskylä           1
PONOT2016052644170HIETAMA                       HIETAMA                                               198601011FI193Keski-Suomi                   Mellersta Finland             992Äänekoski           Äänekoski           1
PONOT2016052663920INHA                          INHA                                                  198811011FI194Etelä-Pohjanmaa               Södra Österbotten             989Ähtäri              Etseri              1
PONOT2016052668920FORSBY                        FORSBY                                                198610011FI195Pohjanmaa                     Österbotten                   599Pedersöre           Pedersöre           1
PONOT2016052691750LIMINPURO                     LIMINPURO                                             198601011FI134Kainuu                        Kajanaland                    785Vaala               Vaala               1
PONOT2016052695410TORNIO                        TORNIO                                                200901011FI1A3Lappi                         Lappland                      851Tornio              Torneå              1
PONOT2016052695640JUOKSENKI                     JUOKSENKI                                             198601011FI1A3Lappi                         Lappland                      854Pello               Pello               1
PONOT2016052600022TILASTOKESKUS                 STATISTIKCENTRALEN            TILASTOK                199401013FI181Uusimaa                       Nyland                        091Helsinki            Helsingfors         2
PONOT2016052600760HELSINKI                      HELSINGFORS                   HKI         HFORS       199512091FI181Uusimaa                       Nyland                        091Helsinki            Helsingfors         2
PONOT2016052602320ESPOO                         ESBO                                                  198810011FI181Uusimaa                       Nyland                        049Espoo               Esbo                2
PONOT2016052621660NAUVO                         NAGU                                                  198811011FI183Varsinais-Suomi               Egentliga Finland             445Parainen            Pargas              2
