PONOT2016121368920FORSBY                        FORSBY                                                198610011FI195Pohjanmaa                     Österbotten                   599Pedersöre           Pedersöre           1
PONOT2016121391750LIMINPURO                     LIMINPURO                                             198601011FI134Kainuu                        Kajanaland                    785Vaala               Vaala               1
PONOT2016121395410TORNIO                        TORNIO                                                200901011FI1A3Lappi                         Lappland                      851Tornio              Torneå              1
PONOT2016121395640JUOKSENKI                     JUOKSENKI                                             198601011FI1A3Lappi                         Lappland                      854Pello               Pello               1
PONOT2016121300022TILASTOKESKUS                 STATISTIKCENTRALEN            TILASTOK                199401013FI181Uusimaa                       Nyland                        091Helsinki            Helsingfors         2
PONOT2016121300760HELSINKI                      HELSINGFORS                   HKI         HFORS       199512091FI181Uusimaa                       Nyland                        091Helsinki            Helsingfors         2
PONOT2016121302320ESPOO                         ESBO                                                  198810011FI181Uusimaa                       Nyland                        049Espoo               Esbo                2
PONOT2016121321660NAUVO                         NAGU                                                  198811011FI183Varsinais-Suomi               Egentliga Finland             445Parainen            Pargas              2
PONOT2016121326930VERMUNTILA                    VERMUNTILA                                            198601011FI191Satakunta                     Satakunda                     684Rauma               Raumo               1
PONOT2016121331380LETKU                         LETKU                                                 198808221FI184Kanta-Häme                    Egentliga Tavastland          834Tammela             Tammela             1
PONOT2016121334510LUODE                         LUODE                                                 198601011FI192Pirkanmaa                     Birkaland                     980Ylöjärvi            Ylöjärvi            1
PONOT2016121352980AHVENAINEN                    AHVENAINEN                                            198601011FI131Etelä-Savo                    Södra Savolax                 507Mäntyharju          Mäntyharju          1
PONOT2016121362720SISSALA                       SISSALA                                               199005011FI194Etelä-Pohjanmaa               Södra Österbotten             005Alajärvi            Alajärvi            1
PONOT2016121389110TÖRMÄNMÄKI                    TÖRMÄNMÄKI                                            198601011FI134Kainuu                        Kajanaland                    620Puolanka            Puolanka            1
PONOT2016121392180LAPALUOTO                     LAPALUOTO                                             198811011FI1A2Pohjois-Pohjanmaa             Norra Österbotten             678Raahe               Brahestad           1
PONOT2016121395840VENEJÄRVENKYLÄ                VENEJÄRVENKYLÄ                VENEJÄRVENKL            198601011FI1A3Lappi                         Lappland                      273Kolari              Kolari              1
PONOT2016121398850KUOSKU                        KUOSKU                                                198601011FI1A3Lappi                         Lappland                      742Savukoski           Savukoski           1
PONOT2016121304380TUUSULA                       TUUSULA                                               200202011FI181Uusimaa                       Nyland                        858Tuusula             Tusby               1
PONOT2016121300081A-LEHDET                      A-LEHDET                                              199405253FI181Uusimaa                       Nyland                        091Helsinki            Helsingfors         2
PONOT2016121311111RIIHIMÄKI                     RIIHIMÄKI                     RHM                     198811012FI184Kanta-Häme                    Egentliga Tavastland          694Riihimäki           Riihimäki           1
PONOT2016121316270VILLIKKALA                    VILLIKKALA                                            198601011FI185Päijät-Häme                   Päijänne-Tavastland           560Orimattila          Orimattila          1
PONOT2016121321930UUSIKARTANO                   UUSIKARTANO                                           198902011FI183Varsinais-Suomi               Egentliga Finland             636Pöytyä              Pöytyä              1
PONOT2016121327450HAROLA                        HAROLA                                                198601011FI191Satakunta                     Satakunda                     050Eura                Eura                1
PONOT2016121331641HUMPPILA                      HUMPPILA                                              199507032FI184Kanta-Häme                    Egentliga Tavastland          103Humppila            Humppila            1
PONOT2016121353900LAPPEENRANTA                  LAPPEENRANTA                  LPR                     198811011FI187Etelä-Karjala                 Södra Karelen                 405Lappeenranta        Villmanstrand       1
PONOT2016121359520SAARI KK                      SAARI KK                                              199011191FI187Etelä-Karjala                 Södra Karelen                 580Parikkala           Parikkala           1
PONOT2016121363101KUORTANE                      KUORTANE                                              199609202FI194Etelä-Pohjanmaa               Södra Österbotten             300Kuortane            Kuortane            1
PONOT2016121372310NIINIVESI                     NIINIVESI                                             198805011FI132Pohjois-Savo                  Norra Savolax                 921Vesanto             Vesanto             1
PONOT2016121377480SAVUNIEMI                     SAVUNIEMI                                             198806281FI131Etelä-Savo                    Södra Savolax                 171Joroinen            Jorois              1
PONOT2016121382220NIITTYLAHTI                   NIITTYLAHTI                                           198802011FI133Pohjois-Karjala               Norra Karelen                 167Joensuu             Joensuu             1
PONOT2016121382501KITEE                         KITEE                                                 199604012FI133Pohjois-Karjala               Norra Karelen                 260Kitee               Kitee               1
PONOT2016121386550MIELUSKYLÄ                    MIELUSKYLÄ                                            198601011FI1A2Pohjois-Pohjanmaa             Norra Österbotten             071Haapavesi           Haapavesi           1
PONOT2016121392610VORNA                         VORNA                                                 198601011FI1A2Pohjois-Pohjanmaa             Norra Österbotten             791Siikalatva          Siikalatva          1
PONOT2016121305800HYVINKÄÄ                      HYVINKÄÄ                      HVNK                    199702071FI181Uusimaa                       Nyland                        106Hyvinkää            Hyvinge             1
PONOT2016121312600LÄYLIÄINEN                    LÄYLIÄINEN                                            199605061FI184Kanta-Häme                    Egentliga Tavastland          433Loppi               Loppi               1
PONOT2016121316790MANSKIVI                      MANSKIVI                                              198711011FI185Päijät-Häme                   Päijänne-Tavastland           098Hollola             Hollola             1
PONOT2016121317440VÄHIMAA                       VÄHIMAA                                               198803211FI185Päijät-Häme                   Päijänne-Tavastland           016Asikkala            Asikkala            1
PONOT2016121321230LEMU                          LEMU                                                  199610291FI183Varsinais-Suomi               Egentliga Finland             481Masku               Masku               1
PONOT2016121345911VOIKKAA                       VOIKKAA                                               200512162FI186Kymenlaakso                   Kymmenedalen                  286Kouvola             Kouvola             1
PONOT2016121360280SEINÄJOKI                     SEINÄJOKI                     SJK                     198601011FI194Etelä-Pohjanmaa               Södra Österbotten             743Seinäjoki           Seinäjoki           1
PONOT2016121361180HAAPALUOMA                    HAAPALUOMA                                            198601011FI194Etelä-Pohjanmaa               Södra Österbotten             743Seinäjoki           Seinäjoki           1
PONOT2016121363450LÖYÄ                          LÖYÄ                                                  198601011FI194Etelä-Pohjanmaa               Södra Österbotten             300Kuortane            Kuortane            1
PONOT2016121366470JUKAJA                        JUKAJA                                                198909011FI195Pohjanmaa                     Österbotten                   399Laihia              Laihela             1
