PONOT2017040779700HEINÄVESI                     HEINÄVESI                                             198811011FI1D1Etelä-Savo                    Södra Savolax                 090Heinävesi           Heinävesi           1
PONOT2017040786240PYHÄNKOSKI                    PYHÄNKOSKI                                            198601011FI1D6Pohjois-Pohjanmaa             Norra Österbotten             483Merijärvi           Merijärvi           1
PONOT2017040797390KIERINKI                      KIERINKI                                              198601011FI1D7Lappi                         Lappland                      758Sodankylä           Sodankylä           1
PONOT2017040700900HELSINKI                      HELSINGFORS                   HKI         HFORS       198810011FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            091Helsinki            Helsingfors         2
PONOT2017040702760ESPOO                         ESBO                                                  199608291FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            049Espoo               Esbo                2
PONOT2017040707590HUUVARI                       HUUVARI                                               198601011FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            018Askola              Askola              1
PONOT2017040713720PAROLA                        PAROLA                                                198810011FI1C2Kanta-Häme                    Egentliga Tavastland          082Hattula             Hattula             1
PONOT2017040750350NOROLA                        NOROLA                                                198801011FI1D1Etelä-Savo                    Södra Savolax                 491Mikkeli             St Michel           1
PONOT2017040755700IMATRA                        IMATRA                                                198811011FI1C5Etelä-Karjala                 Södra Karelen                 153Imatra              Imatra              1
PONOT2017040756800SIMPELE                       SIMPELE                                               199703031FI1C5Etelä-Karjala                 Södra Karelen                 689Rautjärvi           Rautjärvi           1
PONOT2017040764260KASKINEN                      KASKÖ                                                 199706161FI195Pohjanmaa                     Österbotten                   231Kaskinen            Kaskö               2
PONOT2017040770101KUOPIO                        KUOPIO                                                198903132FI1D2Pohjois-Savo                  Norra Savolax                 297Kuopio              Kuopio              1
PONOT2017040774250NISSILÄ                       NISSILÄ                                               198601011FI1D2Pohjois-Savo                  Norra Savolax                 925Vieremä             Vieremä             1
PONOT2017040780130JOENSUU                       JOENSUU                       JS                      199610011FI1D3Pohjois-Karjala               Norra Karelen                 167Joensuu             Joensuu             1
PONOT2017040703220TERVALAMPI                    TERVALAMPI                                            198804051FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            927Vihti               Vichtis             1
PONOT2017040707910VALKO                         VALKOM                                                198811011FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            434Loviisa             Lovisa              2
PONOT2017040714610LEPAA                         LEPAA                                                 199904061FI1C2Kanta-Häme                    Egentliga Tavastland          082Hattula             Hattula             1
PONOT2017040715141LAHTI                         LAHTI                                                 199001012FI1C3Päijät-Häme                   Päijänne-Tavastland           398Lahti               Lahtis              1
PONOT2017040719650JOUTSA                        JOUTSA                                                198811011FI193Keski-Suomi                   Mellersta Finland             172Joutsa              Joutsa              1
PONOT2017040732560VIRTTAA                       VIRTTAA                                               199706231FI1C1Varsinais-Suomi               Egentliga Finland             430Loimaa              Loimaa              1
PONOT2017040735750VÄÄRINMAJA                    VÄÄRINMAJA                                            199603011FI197Pirkanmaa                     Birkaland                     702Ruovesi             Ruovesi             1
PONOT2017040739501IKAALINEN                     IKAALINEN                                             199510312FI197Pirkanmaa                     Birkaland                     143Ikaalinen           Ikalis              1
PONOT2017040739965KARVIANKYLÄ                   KARVIANKYLÄ                                           198601011FI196Satakunta                     Satakunda                     230Karvia              Karvia              1
